Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86422,AdultFemaleAgent(Clone),10,9,1.58,1.45,3.333984,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86423,WheelchairAgent(Clone),9,10,1.3,1.17,0,0,False,2,0,0
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86424,AdultFemaleAgent(Clone),10,9,1.58,1.45,2.949219,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86425,AdultFemaleAgent(Clone),8,7,1.58,1.45,8.538086,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86426,AdultFemaleAgent(Clone),7,8,1.58,1.45,8.694336,2,False,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86427,AdultFemaleAgent(Clone),7,8,1.58,1.45,10.26855,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86428,AdultFemaleAgent(Clone),7,8,1.58,1.45,9.543945,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86429,AdultMaleAgent(Clone),8,7,1.71,1.58,7.758789,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86430,WheelchairAgent(Clone),7,8,1.3,1.17,7.396484,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86431,WheelchairAgent(Clone),8,7,1.3,1.17,6.189453,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86432,AdultMaleAgent(Clone),8,7,1.71,1.58,6.681641,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86433,AdultMaleAgent(Clone),7,8,1.71,1.58,7.708008,2,False,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86434,AdultMaleAgent(Clone),10,9,1.71,1.58,2.974609,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86435,AdultMaleAgent(Clone),10,9,1.71,1.58,3.205078,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86436,WheelchairAgent(Clone),7,8,1.3,1.17,7.59375,2,False,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86437,AdultFemaleAgent(Clone),10,9,1.58,1.45,3.625,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86438,AdultMaleAgent(Clone),10,9,1.71,1.58,3.646484,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86439,WheelchairAgent(Clone),9,10,1.3,1.17,0.1318359,1,False,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86440,WheelchairAgent(Clone),10,9,1.3,1.17,5.352539,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86441,AdultMaleAgent(Clone),10,9,1.71,1.58,3.304688,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86442,AdultFemaleAgent(Clone),10,9,1.58,1.45,3.09082,2,False,2,0,0
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86443,WheelchairAgent(Clone),7,8,1.3,1.17,9.175781,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86444,AdultFemaleAgent(Clone),10,9,1.58,1.45,0.6484375,1,False,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86445,AdultMaleAgent(Clone),10,9,1.71,1.58,3.193359,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86446,WheelchairAgent(Clone),7,8,1.3,1.17,9.1875,2,False,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86447,AdultMaleAgent(Clone),7,8,1.71,1.58,8.881836,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86448,WheelchairAgent(Clone),9,10,1.3,1.17,1.381836,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86449,WheelchairAgent(Clone),8,7,1.3,1.17,7.936523,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86450,WheelchairAgent(Clone),7,8,1.3,1.17,9.162109,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86451,AdultMaleAgent(Clone),10,9,1.71,1.58,3.5625,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86452,AdultFemaleAgent(Clone),10,9,1.58,1.45,3.389648,2,True,2,1,0.5
2026-03-07_12.07.06,186,sign-optimization-horizontal_scenario,469,201,3,-7,2,0,90,15,1,86453,AdultFemaleAgent(Clone),9,10,1.58,1.45,1.018555,2,True,2,1,0.5
