Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85349,WheelchairAgent(Clone),7,11,1.3,1.17,10.17285,1,True,2,1,0.5
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85350,AdultMaleAgent(Clone),6,12,1.71,1.58,0,0,False,2,0,0
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85351,AdultFemaleAgent(Clone),5,10,1.58,1.45,7.716797,2,True,2,1,0.5
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85352,AdultMaleAgent(Clone),5,10,1.71,1.58,9.194336,2,True,2,1,0.5
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85353,WheelchairAgent(Clone),11,10,1.3,1.17,0,0,False,3,0,0
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85354,WheelchairAgent(Clone),6,12,1.3,1.17,0.3105469,2,True,2,1,0.5
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85355,AdultMaleAgent(Clone),11,10,1.71,1.58,0,0,False,3,0,0
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85356,AdultFemaleAgent(Clone),10,12,1.58,1.45,1.459961,1,True,3,1,0.3333333
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85357,AdultFemaleAgent(Clone),10,12,1.58,1.45,4.157227,1,True,3,1,0.3333333
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85358,AdultFemaleAgent(Clone),7,11,1.58,1.450001,7.631836,1,True,2,1,0.5
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85359,AdultFemaleAgent(Clone),10,12,1.58,1.45,1.882813,1,True,3,1,0.3333333
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85360,AdultMaleAgent(Clone),11,10,1.71,1.58,0,0,False,3,0,0
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85361,WheelchairAgent(Clone),10,12,1.3,1.17,2.583984,1,True,3,1,0.3333333
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85362,AdultMaleAgent(Clone),7,11,1.71,1.58,8.610352,1,True,2,1,0.5
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85363,AdultFemaleAgent(Clone),11,10,1.58,1.450001,0,0,False,3,0,0
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85364,AdultFemaleAgent(Clone),7,11,1.58,1.450001,9.527344,1,True,2,1,0.5
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85365,AdultMaleAgent(Clone),6,12,1.71,1.58,0.4580078,2,True,2,1,0.5
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85366,WheelchairAgent(Clone),5,10,1.3,1.17,7.790039,2,True,2,1,0.5
2026-03-07_00.58.49,148,sign-optimization-horizontal-vertical_scenario,569,288,3,-9,0,0,90,15,1,85367,AdultMaleAgent(Clone),10,12,1.71,1.58,3.336914,1,False,3,1,0.3333333
