Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4063,AdultMaleAgent(Clone),11,10,1.71,1.58,0,0,False,3,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4064,WheelchairAgent(Clone),7,11,1.3,1.17,0,0,False,2,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4065,WheelchairAgent(Clone),6,12,1.3,1.17,2.063568,2,False,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4066,WheelchairAgent(Clone),10,12,1.3,1.17,1.078827,2,False,3,1,0.3333333
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4067,AdultMaleAgent(Clone),11,10,1.71,1.58,3.956818,1,False,3,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4068,AdultFemaleAgent(Clone),11,10,1.58,1.450001,0.7547913,1,False,3,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4069,AdultMaleAgent(Clone),11,10,1.71,1.58,9.813232,1,False,3,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4070,AdultMaleAgent(Clone),6,12,1.71,1.58,4.691803,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4071,AdultFemaleAgent(Clone),7,11,1.58,1.450001,1.945953,1,False,2,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4072,AdultFemaleAgent(Clone),5,10,1.58,1.45,5.158844,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4073,AdultFemaleAgent(Clone),6,12,1.58,1.45,3.302673,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4074,WheelchairAgent(Clone),6,12,1.3,1.17,4.979553,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4075,WheelchairAgent(Clone),6,12,1.3,1.17,4.216248,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4076,AdultFemaleAgent(Clone),6,12,1.58,1.45,4.388824,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4077,AdultFemaleAgent(Clone),7,11,1.58,1.450001,2.232086,1,False,2,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4078,AdultFemaleAgent(Clone),6,12,1.58,1.45,4.940155,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4079,AdultFemaleAgent(Clone),7,11,1.58,1.450001,3.251404,1,False,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4080,AdultFemaleAgent(Clone),6,12,1.58,1.45,5.031921,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4081,WheelchairAgent(Clone),10,12,1.3,1.17,2.833832,2,True,3,1,0.3333333
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4082,AdultMaleAgent(Clone),6,12,1.71,1.58,3.183228,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4083,AdultFemaleAgent(Clone),5,10,1.58,1.45,5.227142,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4084,WheelchairAgent(Clone),6,12,1.3,1.17,4.27771,2,False,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4085,AdultFemaleAgent(Clone),6,12,1.58,1.45,4.621582,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4086,AdultMaleAgent(Clone),10,12,1.71,1.58,2.314911,2,True,3,1,0.3333333
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4087,AdultMaleAgent(Clone),7,11,1.71,1.58,0,0,False,2,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4088,WheelchairAgent(Clone),6,12,1.3,1.17,4.705017,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4089,AdultMaleAgent(Clone),6,12,1.71,1.58,4.871002,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4090,AdultFemaleAgent(Clone),10,12,1.58,1.45,1.858093,2,False,3,1,0.3333333
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4091,AdultFemaleAgent(Clone),10,12,1.58,1.45,3.348877,2,True,3,1,0.3333333
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4092,AdultFemaleAgent(Clone),6,12,1.58,1.45,3.667572,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4093,AdultFemaleAgent(Clone),7,11,1.58,1.450001,0,0,False,2,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4094,AdultMaleAgent(Clone),10,12,1.71,1.58,2.81192,2,True,3,1,0.3333333
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4095,WheelchairAgent(Clone),7,11,1.3,1.17,0,0,False,2,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4096,WheelchairAgent(Clone),10,12,1.3,1.17,4.670502,1,False,3,1,0.3333333
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4097,AdultFemaleAgent(Clone),6,12,1.58,1.45,3.913788,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4098,WheelchairAgent(Clone),10,12,1.3,1.17,0.8087463,2,False,3,1,0.3333333
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4099,AdultMaleAgent(Clone),11,10,1.71,1.58,0,0,False,3,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4100,AdultMaleAgent(Clone),7,11,1.71,1.58,0,0,False,2,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4101,AdultFemaleAgent(Clone),10,12,1.58,1.45,2.201599,2,True,3,1,0.3333333
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4102,AdultMaleAgent(Clone),7,11,1.71,1.58,3.939331,1,False,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4103,AdultFemaleAgent(Clone),6,12,1.58,1.45,4.410187,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4104,AdultFemaleAgent(Clone),6,12,1.58,1.45,3.822968,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4105,AdultFemaleAgent(Clone),11,10,1.58,1.450001,0,0,False,3,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4106,AdultMaleAgent(Clone),6,12,1.71,1.58,3.792053,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4107,AdultFemaleAgent(Clone),7,11,1.58,1.450001,0,0,False,2,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4108,AdultMaleAgent(Clone),7,11,1.71,1.58,4.53302,1,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4109,AdultMaleAgent(Clone),5,10,1.71,1.58,5.570953,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4110,AdultMaleAgent(Clone),6,12,1.71,1.58,2.486145,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4111,AdultFemaleAgent(Clone),11,10,1.58,1.450001,0,0,False,3,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4112,WheelchairAgent(Clone),5,10,1.3,1.17,7.25943,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4113,AdultFemaleAgent(Clone),6,12,1.58,1.45,4.792572,2,True,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4114,AdultMaleAgent(Clone),10,12,1.71,1.58,0.8945007,2,True,3,1,0.3333333
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4115,WheelchairAgent(Clone),11,10,1.3,1.17,0.1385498,1,False,3,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4116,AdultMaleAgent(Clone),7,11,1.71,1.58,3.070068,1,False,2,1,0.5
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4117,AdultFemaleAgent(Clone),7,11,1.58,1.450001,1.880585,1,False,2,0,0
2026-03-06_22.38.46,8,sign-optimization-horizontal-vertical_scenario,581,230,3,-5,-8,0,90,15,1,4118,AdultMaleAgent(Clone),7,11,1.71,1.58,2.033875,1,False,2,1,0.5
