Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-07_13.31.07,270,sign-optimization-horizontal_scenario,461,191,3,5,6,0,90,15,1,125748,WheelchairAgent(Clone),9,10,1.3,1.17,8.698242,2,True,2,1,0.5
2026-03-07_13.31.07,270,sign-optimization-horizontal_scenario,461,191,3,5,6,0,90,15,1,125749,AdultMaleAgent(Clone),7,8,1.71,1.58,0,0,False,2,0,0
2026-03-07_13.31.07,270,sign-optimization-horizontal_scenario,461,191,3,5,6,0,90,15,1,125750,AdultFemaleAgent(Clone),9,10,1.58,1.45,9.522461,2,True,2,1,0.5
2026-03-07_13.31.07,270,sign-optimization-horizontal_scenario,461,191,3,5,6,0,90,15,1,125751,AdultFemaleAgent(Clone),7,8,1.58,1.45,0,0,False,2,0,0
2026-03-07_13.31.07,270,sign-optimization-horizontal_scenario,461,191,3,5,6,0,90,15,1,125752,AdultFemaleAgent(Clone),7,8,1.58,1.45,0,0,False,2,0,0
2026-03-07_13.31.07,270,sign-optimization-horizontal_scenario,461,191,3,5,6,0,90,15,1,125753,WheelchairAgent(Clone),8,7,1.3,1.17,0,0,False,2,0,0
2026-03-07_13.31.07,270,sign-optimization-horizontal_scenario,461,191,3,5,6,0,90,15,1,125754,WheelchairAgent(Clone),9,10,1.3,1.17,9.201172,2,True,2,1,0.5
2026-03-07_13.31.07,270,sign-optimization-horizontal_scenario,461,191,3,5,6,0,90,15,1,125755,AdultMaleAgent(Clone),8,7,1.71,1.58,0,0,False,2,0,0
2026-03-07_13.31.07,270,sign-optimization-horizontal_scenario,461,191,3,5,6,0,90,15,1,125756,AdultFemaleAgent(Clone),9,10,1.58,1.45,7.760742,2,True,2,1,0.5
2026-03-07_13.31.07,270,sign-optimization-horizontal_scenario,461,191,3,5,6,0,90,15,1,125757,AdultFemaleAgent(Clone),10,9,1.58,1.45,5.612305,2,True,2,1,0.5
