Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26547,WheelchairAgent(Clone),7,8,1.3,1.17,5.168457,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26548,AdultFemaleAgent(Clone),7,8,1.58,1.45,10.01221,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26549,AdultFemaleAgent(Clone),7,8,1.58,1.45,7.904785,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26550,WheelchairAgent(Clone),7,8,1.3,1.17,6.009766,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26551,AdultFemaleAgent(Clone),8,7,1.58,1.45,8.086914,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26552,WheelchairAgent(Clone),8,7,1.3,1.17,7.887207,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26553,WheelchairAgent(Clone),7,8,1.3,1.17,5.098633,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26554,AdultMaleAgent(Clone),8,7,1.71,1.58,7.136719,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26555,WheelchairAgent(Clone),8,7,1.3,1.17,8.60498,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26556,AdultMaleAgent(Clone),8,7,1.71,1.58,6.980469,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26557,AdultMaleAgent(Clone),8,7,1.71,1.58,8.311035,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26558,AdultMaleAgent(Clone),8,7,1.71,1.58,7.864258,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26559,WheelchairAgent(Clone),7,8,1.3,1.17,5.27002,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26560,AdultMaleAgent(Clone),8,7,1.71,1.58,8.091309,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26561,AdultFemaleAgent(Clone),8,7,1.58,1.45,7.342773,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26562,WheelchairAgent(Clone),7,8,1.3,1.17,12.41504,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26563,AdultFemaleAgent(Clone),7,8,1.58,1.45,6.36084,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26564,AdultMaleAgent(Clone),8,7,1.71,1.58,7.362305,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26565,AdultFemaleAgent(Clone),7,8,1.58,1.45,5.341797,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26566,AdultMaleAgent(Clone),7,8,1.71,1.58,3.919434,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26567,WheelchairAgent(Clone),8,7,1.3,1.17,7.520996,2,True,2,1,0.5
2026-03-07_22.44.14,114,sign-optimization-vertical_scenario,260,200,3,-7,-2,90,90,15,1,26568,WheelchairAgent(Clone),8,7,1.3,1.17,10.53711,2,True,2,1,0.5
