Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,VcaAngle,VcaDistance,SignComprehensionTime,GlobalFPS,LCP_ms,UIC_Alpha,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,0,AdultFemaleAgent(Clone),10,8,1.58,1.450001,5.454889,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,1,AdultFemaleAgent(Clone),10,8,1.58,1.450001,8.792431,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,2,AdultFemaleAgent(Clone),9,11,1.58,1.450001,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,3,AdultFemaleAgent(Clone),10,8,1.58,1.450001,6.767906,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,4,WheelchairAgent(Clone),10,8,1.3,1.17,6.790121,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,5,WheelchairAgent(Clone),9,11,1.3,1.17,0.5907402,1,False,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,6,AdultMaleAgent(Clone),8,10,1.71,1.58,9.666666,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,7,AdultMaleAgent(Clone),11,9,1.71,1.58,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,8,AdultFemaleAgent(Clone),10,8,1.58,1.450001,8.821802,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,9,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,10,AdultMaleAgent(Clone),8,10,1.71,1.58,9.000002,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,11,AdultMaleAgent(Clone),8,10,1.71,1.58,8,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,12,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,13,AdultFemaleAgent(Clone),10,8,1.58,1.450001,8.996851,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,14,AdultFemaleAgent(Clone),10,8,1.58,1.450001,8.748024,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,15,WheelchairAgent(Clone),9,11,1.3,1.17,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,16,AdultMaleAgent(Clone),11,9,1.71,1.58,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,17,AdultFemaleAgent(Clone),8,10,1.58,1.450001,9.666668,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,18,WheelchairAgent(Clone),8,10,1.3,1.17,10.33333,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,19,AdultFemaleAgent(Clone),10,8,1.58,1.450001,6.99581,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,20,WheelchairAgent(Clone),11,9,1.3,1.17,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,21,WheelchairAgent(Clone),9,11,1.3,1.17,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,22,AdultFemaleAgent(Clone),8,10,1.58,1.450001,10,2,False,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,23,AdultMaleAgent(Clone),11,9,1.71,1.58,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,24,WheelchairAgent(Clone),9,11,1.3,1.17,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,25,AdultMaleAgent(Clone),11,9,1.71,1.58,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,26,AdultFemaleAgent(Clone),10,8,1.58,1.450001,6.459938,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,27,WheelchairAgent(Clone),10,8,1.3,1.17,6.9228,2,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,28,AdultMaleAgent(Clone),11,9,1.71,1.58,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,29,WheelchairAgent(Clone),11,9,1.3,1.17,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,30,AdultMaleAgent(Clone),11,9,1.71,1.58,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,31,AdultMaleAgent(Clone),9,11,1.71,1.58,0.7385654,1,False,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,32,WheelchairAgent(Clone),8,10,1.3,1.17,9.333332,2,True,2,1,0.5
