Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,0,AdultMaleAgent(Clone),11,9,1.71,1.58,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,1,AdultFemaleAgent(Clone),10,8,1.58,1.450001,6.402287,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,2,WheelchairAgent(Clone),8,10,1.3,1.17,8.188091,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,3,AdultFemaleAgent(Clone),9,11,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,4,AdultMaleAgent(Clone),9,11,1.71,1.58,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,5,WheelchairAgent(Clone),8,10,1.3,1.17,9.074598,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,6,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,7,AdultFemaleAgent(Clone),8,10,1.58,1.450001,9.035381,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,8,WheelchairAgent(Clone),11,9,1.3,1.17,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,9,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,10,WheelchairAgent(Clone),11,9,1.3,1.17,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,11,WheelchairAgent(Clone),10,8,1.3,1.17,8.273901,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,12,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,13,WheelchairAgent(Clone),10,8,1.3,1.17,7.999376,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,14,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,15,WheelchairAgent(Clone),8,10,1.3,1.17,9.747463,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,16,AdultFemaleAgent(Clone),10,8,1.58,1.450001,8.25832,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,17,AdultMaleAgent(Clone),8,10,1.71,1.58,8.955261,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,18,AdultMaleAgent(Clone),8,10,1.71,1.58,9.536776,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,19,AdultFemaleAgent(Clone),8,10,1.58,1.450001,8.839291,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,20,WheelchairAgent(Clone),9,11,1.3,1.17,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,21,WheelchairAgent(Clone),11,9,1.3,1.17,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,22,AdultMaleAgent(Clone),9,11,1.71,1.58,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,23,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,24,AdultFemaleAgent(Clone),9,11,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,25,AdultFemaleAgent(Clone),8,10,1.58,1.450001,8.26638,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,26,AdultFemaleAgent(Clone),10,8,1.58,1.450001,8.721506,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,27,AdultMaleAgent(Clone),11,9,1.71,1.58,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,28,AdultMaleAgent(Clone),10,8,1.71,1.58,9.275709,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,29,AdultMaleAgent(Clone),10,8,1.71,1.58,6.569555,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,30,WheelchairAgent(Clone),10,8,1.3,1.17,8.392441,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,31,WheelchairAgent(Clone),11,9,1.3,1.17,0,0,False,2,0,0
