Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5936,AdultMaleAgent(Clone),11,9,1.71,1.58,2.16449,2,False,2,0,0
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5937,WheelchairAgent(Clone),11,9,1.3,1.17,1.274231,2,False,2,0,0
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5938,AdultMaleAgent(Clone),10,8,1.71,1.58,10.33771,1,True,2,1,0.5
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5939,AdultFemaleAgent(Clone),8,10,1.58,1.450001,6.908752,2,True,2,1,0.5
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5940,AdultFemaleAgent(Clone),10,8,1.58,1.450001,7.835327,1,True,2,1,0.5
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5941,AdultFemaleAgent(Clone),11,9,1.58,1.450001,1.946472,1,False,2,0,0
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5942,AdultMaleAgent(Clone),8,10,1.71,1.58,5.144714,2,True,2,1,0.5
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5943,WheelchairAgent(Clone),9,11,1.3,1.17,5.31488,1,True,2,1,0.5
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5944,AdultFemaleAgent(Clone),10,8,1.58,1.450001,7.907593,1,True,2,1,0.5
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5945,AdultMaleAgent(Clone),11,9,1.71,1.58,0.967041,1,False,2,0,0
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5946,AdultMaleAgent(Clone),8,10,1.71,1.58,4.548889,1,True,2,1,0.5
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5947,AdultMaleAgent(Clone),8,10,1.71,1.58,8.333557,1,True,2,1,0.5
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5948,AdultFemaleAgent(Clone),8,10,1.58,1.450001,6.200989,1,True,2,1,0.5
2026-03-04_21.24.56,29,Batch_sim_scenario,193,72,3,-5,-4,0,90,15,1,5949,WheelchairAgent(Clone),10,8,1.3,1.17,7.639709,1,True,2,1,0.5
