Route,TotalInVCA,SawSignCount,VisibilityRatio,MeanTimeInVCA
4 -> 12,59,43,72.88135593220339,13.701382084745761
0 -> 10,47,35,74.46808510638297,14.633469702127659
0 -> 11,47,0,0.0,5.191280446808511
2 -> 11,43,34,79.06976744186046,15.42799376744186
4 -> 11,41,2,4.878048780487805,5.047819853658536
5 -> 11,41,0,0.0,8.734884831219512
2 -> 12,38,14,36.84210526315789,12.1267515
2 -> 10,36,3,8.333333333333332,10.334420158333334
5 -> 10,34,25,73.52941176470588,12.323780087647059
12 -> 10,32,19,59.375,10.64039146875
12 -> 11,29,0,0.0,3.8208427241379312
10 -> 12,28,18,64.28571428571429,10.886914142857142
3 -> 11,28,0,0.0,7.252075535714286
3 -> 12,28,24,85.71428571428571,15.734940464285714
10 -> 11,27,0,0.0,3.5146455925925926
11 -> 10,22,22,100.0,18.949966363636364
11 -> 12,20,19,95.0,15.026293950000001
6 -> 10,20,20,100.0,14.419252
7 -> 11,19,0,0.0,14.370208
3 -> 10,17,12,70.58823529411765,8.496176617647059
6 -> 11,13,0,0.0,2.793896484615385
5 -> 12,13,7,53.84615384615385,6.421487923076923
6 -> 12,13,13,100.0,14.778462615384615
8 -> 11,9,0,0.0,7.018483777777778
1 -> 11,9,0,0.0,12.598310444444444
1 -> 10,8,6,75.0,10.568698375
7 -> 10,7,0,0.0,2.8967549857142854
8 -> 12,6,4,66.66666666666666,9.998094166666666
9 -> 12,5,2,40.0,4.967620999999999
0 -> 12,5,0,0.0,2.72846074
11 -> 11,4,0,0.0,0.1447641
7 -> 12,4,1,25.0,4.7549995
4 -> 10,3,0,0.0,1.807639
9 -> 10,2,1,50.0,3.06174
