Route,TotalInVCA,SawSignCount,VisibilityRatio,MeanTimeInVCA
24 -> 42,92,46,50.0,5.711517389565217
21 -> 44,84,0,0.0,5.722156437380953
2 -> 40,70,35,50.0,5.1974069
17 -> 43,68,0,0.0,5.972140367647059
32 -> 40,52,26,50.0,5.202186442307692
1 -> 44,48,21,43.75,5.4651813125
36 -> 43,36,5,13.88888888888889,5.109202416666666
37 -> 45,35,24,68.57142857142857,6.926404771428571
23 -> 41,31,16,51.61290322580645,6.024602167741936
34 -> 45,31,0,0.0,2.3238088516129034
31 -> 40,28,24,85.71428571428571,9.492679392857143
5 -> 40,24,6,25.0,8.336929291666666
27 -> 45,22,0,0.0,2.5418129863636363
38 -> 42,21,8,38.095238095238095,5.4011103333333335
39 -> 43,17,9,52.94117647058824,5.81877394117647
11 -> 42,16,3,18.75,5.8842319375
9 -> 44,15,14,93.33333333333333,5.526338866666666
15 -> 42,14,0,0.0,10.039705214285714
8 -> 43,14,14,100.0,4.921317785714286
29 -> 44,12,6,50.0,5.466653333333333
10 -> 41,4,1,25.0,5.793126
12 -> 41,3,0,0.0,9.202563333333332
0 -> 41,2,0,0.0,5.204178000000001
19 -> 45,1,0,0.0,2.451088
