Density Level,Avg Density (ped/m²),Tilt Angle (deg),VCA Entrants,Adult Female Vis (%),Adult Male Vis (%),Wheelchair Vis (%),Disparity (Male - Wheelchair)
"Level 1 (~540 ped, 0.07/m²)",0.063,15,369,41.23,43.08,28.8,14.28
"Level 1 (~540 ped, 0.07/m²)",0.0689,30,436,42.22,37.24,32.05,5.19
"Level 1 (~540 ped, 0.07/m²)",0.0674,45,208,24.64,14.67,17.19,-2.52
"Level 2 (~1000 ped, 0.18/m²)",0.1824,15,744,44.98,50.0,40.07,9.93
"Level 2 (~1000 ped, 0.18/m²)",0.1755,30,641,47.71,46.01,42.86,3.15
"Level 2 (~1000 ped, 0.18/m²)",0.1769,45,412,21.54,24.79,24.85,-0.06
"Level 3 (~1300 ped, 0.27/m²)",0.2813,15,923,48.83,64.06,36.51,27.55
"Level 3 (~1300 ped, 0.27/m²)",0.2489,30,857,42.56,50.37,32.89,17.48
"Level 3 (~1300 ped, 0.27/m²)",0.2813,45,481,27.22,33.83,38.69,-4.86
"Level 4 (~1480 ped, 0.40/m²)",0.3736,15,843,55.03,58.78,36.47,22.32
"Level 4 (~1480 ped, 0.40/m²)",0.3956,30,947,49.04,55.32,40.46,14.86
"Level 4 (~1480 ped, 0.40/m²)",0.4171,45,560,29.19,34.86,27.0,7.86
"Level 5 (~1740 ped, 0.57/m²)",0.6247,15,940,47.91,62.27,28.38,33.89
"Level 5 (~1740 ped, 0.57/m²)",0.5202,30,983,48.41,63.23,34.45,28.77
"Level 5 (~1740 ped, 0.57/m²)",0.5519,45,514,35.43,39.75,35.96,3.8
