Density Level,Avg Density (ped/m²),Tilt Angle (deg),VCA Entrants,Adult Female Vis (%),Adult Male Vis (%),Wheelchair Vis (%),Disparity (Male - Wheelchair)
"Level 1 (~540 ped, 0.07/m²)",0.063,15,18,0.0,0.0,0.0,0.0
"Level 1 (~540 ped, 0.07/m²)",0.0689,30,24,0.0,0.0,0.0,0.0
"Level 1 (~540 ped, 0.07/m²)",0.0674,45,18,0.0,0.0,0.0,0.0
"Level 2 (~1000 ped, 0.18/m²)",0.1824,15,27,6.25,20.0,0.0,20.0
"Level 2 (~1000 ped, 0.18/m²)",0.1755,30,27,0.0,0.0,11.11,-11.11
"Level 2 (~1000 ped, 0.18/m²)",0.1769,45,45,0.0,0.0,0.0,0.0
"Level 3 (~1300 ped, 0.27/m²)",0.2813,15,49,18.75,35.0,7.69,27.31
"Level 3 (~1300 ped, 0.27/m²)",0.2489,30,41,7.69,15.38,0.0,15.38
"Level 3 (~1300 ped, 0.27/m²)",0.2813,45,38,0.0,0.0,0.0,0.0
"Level 4 (~1480 ped, 0.40/m²)",0.3736,15,43,46.15,33.33,66.67,-33.33
"Level 4 (~1480 ped, 0.40/m²)",0.3956,30,45,57.14,33.33,50.0,-16.67
"Level 4 (~1480 ped, 0.40/m²)",0.4171,45,55,4.76,0.0,5.0,-5.0
"Level 5 (~1740 ped, 0.57/m²)",0.6247,15,55,70.59,83.33,50.0,33.33
"Level 5 (~1740 ped, 0.57/m²)",0.5202,30,54,58.82,88.24,25.0,63.24
"Level 5 (~1740 ped, 0.57/m²)",0.5519,45,43,6.67,9.09,5.88,3.21
